Security Code,Company_Name,Security Id,Security Name,Status,,,
500366,Rolta India Ltd.,ROLTA,ROLTA INDIA LTD.,Active,,,
500367,Rubfila International Ltd.,RUBFILA,RUBFILA INTERNATIONAL LTD.,Active,,,
500368,Patanjali Foods Limited,PATANJALI,Patanjali Foods Ltd,Active,,,
500370,Salora International Limited,SALORAINTL,SALORA INTERNATIONAL LTD.,Active,,,
500378,Jindal Saw Ltd.,JINDALSAW,JINDAL SAW LTD.,Active,,,
500380,JK Lakshmi Cement Limited,JKLAKSHMI,JK LAKSHMI CEMENT LTD.,Active,,,
500387,Shree Cements Ltd.,SHREECEM,SHREE CEMENT LTD.,Active,,,
500388,Shree Krishna Paper Mills & Industr,SKPMIL,SHREE KRISHNA PAPER MILLS & INDUSTRIES LTD.,Active,,,
500389,Silverline Technologies Ltd.,SILVERLINE,SILVERLINE TECHNOLOGIES LTD.,Active,,,
500390,Reliance Infrastructure Ltd,RELINFRA,RELIANCE INFRASTRUCTURE LTD.,Active,,,
500400,Tata Power Co. Ltd,TATAPOWER,TATA POWER CO.LTD.,Active,,,
500402,SPML Infra Limited,SPMLINFRA,SPML Infra Limited,Active,,,
500403,Sundram Fasteners Ltd.,SUNDRMFAST,SUNDRAM FASTENERS LTD.,Active,,,
500404,Sunflag Iron & Steel Co. Ltd.,SUNFLAG,SUNFLAG IRON & STEEL CO.LTD.,Active,,,
500405,Supreme Petrochem Ltd.,SPLPETRO,SUPREME PETROCHEM LTD.,Active,,,
500407,Swaraj Engines Ltd.,SWARAJENG,SWARAJ ENGINES LTD.,Active,,,
500408,Tata Elxsi Ltd,TATAELXSI,TATA ELXSI LTD.,Active,,,
500410,ACC Ltd,ACC,ACC LTD.,Active,,,
500411,Thermax Ltd.,THERMAX,THERMAX LTD.,Active,,,
500412,Thirumalai Chemicals Ltd.,TIRUMALCHM,THIRUMALAI CHEMICALS LTD.,Active,,,
500413,Thomas Cook (India) Ltd.,THOMASCOOK,THOMAS COOK (INDIA) LTD.,Active,,,
500414,Timex Group India Ltd,TIMEX,TIMEX GROUP INDIA LTD.-$,Active,,,
500418,Tokyo Plast International Ltd.,TOKYOPLAST,TOKYO PLAST INTERNATIONAL LTD.,Active,,,
500420,Torrent Pharmaceuticals Ltd.,TORNTPHARM,TORRENT PHARMACEUTICALS LTD.,Active,,,
500421,TPI India Ltd.,TPINDIA,TPI INDIA LTD.,Active,,,
500422,Transchem Limited.,TRANSCHEM,TRANSCHEM LTD.-$,Active,,,
500425,Ambuja Cements Ltd.,AMBUJACEM,AMBUJA CEMENTS LTD.,Active,,,
500426,UTL Industries Limited,UTLINDS,UTL Industries Limited,Active,,,
500429,Uniphos Enterprises Limited.,UNIENTER,UNIPHOS ENTERPRISES LTD.,Active,,,
500439,Vardhman Holdings Limited,VHL,VARDHMAN HOLDINGS LTD.,Active,,,
500440,Hindalco Industries Ltd.,HINDALCO,HINDALCO INDUSTRIES LTD.,Active,,,
500444,West Coast Paper Mills Limited,WSTCSTPAPR,WEST COAST PAPER MILLS LTD.,Active,,,
500449,Hindustan Organic Chemicals Ltd.,HOCL,HINDUSTAN ORGANIC CHEMICALS LTD.,Active,,,
500450,MPIL CORPORATION LIMITED,MPILCORPL,MPIL CORPORATION LTD.,Active,,,
500456,Pasupati Acrylon Ltd.,PASUPTAC,PASUPATI ACRYLON LTD.,Active,,,
